CORTE;AMOSTRA;RESULTADO PROTEÍNA;RESULTADO UMIDADE;RESULTADO GORDURA
PEITO;1;21.07;75.3;1.3
PEITO;2;21.22;76.5;1.5
PEITO;3;21.14;75.7;1.3
PEITO;4;18.65;75.1;1
PEITO;5;19.94;76.1;1.3
PEITO;6;17.42;76.1;2
PEITO;7;22.65;74.7;1.8
PEITO;8;21.97;72.3;1.5
PEITO;9;21.95;75.9;1.6
PEITO;10;21.44;74;1.9
PEITO;11;18.94;73.9;2.3
PEITO;12;20.54;77.2;1.5
PEITO;13;18.66;74.7;1.9
PEITO;14;24.08;78.1;
PEITO;15;19.97;75.6;
PEITO;16;21.5;75.9;
PEITO;17;17.94;68.5;
PEITO;18;19.61;68;
PEITO;19;22.75;66.5;
PEITO;20;24.43;61.8;
PEITO;21;23.14;76.6;
PEITO;22;26.53;76.4;
PEITO;23;21.68;76.5;
PEITO;24;22.54;75.6;
PEITO;25;21.65;77.9;
PEITO;26;17.41;73.3;
PEITO;27;20.37;75.9;
PEITO;28;17.28;75.8;
PEITO;29;22.68;74.3;
PEITO;30;21.7;74.3;
PEITO;31;22.02;75.2;
PEITO;32;22.5;76.2;
PEITO;33;23.11;67.7;
PEITO;34;22.13;75.9;
PEITO;35;16.79;72.6;
PEITO;36;21.73;71.7;
PEITO;37;18.35;75.1;
PEITO;38;16.43;67.7;
PEITO;39;22.81;68.4;
PEITO;40;16.39;74;
PEITO;41;18.69;73.4;
PEITO;42;19.48;75;
PEITO;43;17.74;74.9;
PEITO;44;21.42;76.6;
PEITO;45;20.32;76.8;
PEITO;46;20.44;77;
PEITO;47;23.89;73.1;
PEITO;48;22.2;75.5;
PEITO;49;19.08;78.1;
PEITO;50;14.88;72.4;
PEITO;51;15.28;70.7;
PEITO;52;22.19;75.9;
PEITO;53;23.18;75;
PEITO;54;16.46;66.9;
PEITO;55;15.17;67.3;
PEITO;56;15.85;67.4;
PEITO;57;17.49;74.9;
PEITO;58;17.37;73.1;
PEITO;59;14.89;74.1;
PEITO;60;16.51;73.1;
PEITO;61;16.73;72.7;
PEITO;62;15.14;73.8;
PEITO;63;16.21;68.6;
PEITO;64;22.56;76.2;
PEITO;65;20.78;77.4;
PEITO;66;22.25;76.5;
PEITO;67;20.3;77.7;
PEITO;68;20.81;77.3;
PEITO;69;21.6;76.7;
PEITO;70;15.4;68.8;
PEITO;71;19.32;77.9;
PEITO;72;15.6;69.9;
PEITO;73;15.81;69.3;
PEITO;74;21.75;76.8;
PEITO;75;21.35;76.4;
PEITO;76;20.55;77;
PEITO;77;19.19;75.4;
PEITO;78;21.36;76.7;
PEITO;79;21.98;76.2;
PEITO;80;21.11;77.2;
PEITO;81;20.19;77.5;
PEITO;82;18.13;75.3;
PEITO;83;22.16;75.4;
PEITO;84;23.67;74.1;
PEITO;85;23.63;77.6;
PEITO;86;20.75;76.8;
PEITO;87;22.24;76.3;
PEITO;88;19.92;76.9;
PEITO;89;17.13;72.7;
PEITO;90;20.49;77.2;
PEITO;91;20.96;76.7;
PEITO;92;21.56;76.6;
PEITO;93;22.31;76.5;
PEITO;94;22.69;76.7;
PEITO;95;20.91;76.8;
PEITO;96;21.16;77;
PEITO;97;20.62;78.2;
PEITO;98;20.66;78;
PEITO;99;20.16;76.7;
PEITO;100;17.56;72.8;
PEITO;101;16.46;75;
PEITO;102;16.65;71;
PEITO;103;23.02;77.5;
PEITO;104;19.67;76.5;
PEITO;105;21.34;75.4;
PEITO;106;20.17;76.7;
